Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,is_special_case,n-7,n-9,n-12,db_pos,Ratio
7544,,TG(52:2)]_FA18:1,16153.0,766.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,0,684.7,656.7,614.7,n-9,4.234076015727392
61196,TAG,TG(52:2)]_FA18:1,102684.0,876.8,577.596,18.04,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,0,794.8,766.8,724.8,,
33296,,TG(52:2)]_FA18:1,3815.0,794.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,0,712.7,684.7,642.7,n-7,
5278,,TG(52:3)]_FA18:1,3420.0,764.6,575.596,16.09,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,0,682.6,654.6,612.6,n-9,3.1578947368421053
58931,TAG,TG(52:3)]_FA18:1,22411.0,874.8,575.596,16.12,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,0,792.8,764.8,722.8,,
28881,,TG(52:3)]_FA18:1,1083.0,792.7,575.596,16.04,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,0,710.7,682.7,640.7,n-7,
12052,,TG(53:0)]_FA18:1,551.0,784.6,595.596,21.57,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,0,702.6,674.6,632.6,n-9,1.1290983606557377
63313,TAG,TG(53:0)]_FA18:1,2458.0,894.8,595.596,17.55,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,0,812.8,784.8,742.8,,
37761,,TG(53:0)]_FA18:1,488.0,812.7,595.596,20.87,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,0,730.7,702.7,660.7,n-7,
31270,,TG(54:2)]_FA18:1,11693.0,794.6,605.596,20.0,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,0,712.6,684.6,642.6,n-9,4.305228276877761
74199,TAG,TG(54:2)]_FA18:1,64091.0,904.8,605.596,20.01,CrudeCanola_O3on_150gN3_02082023,904.8 -> 605.596,0,822.8,794.8,752.8,,
