Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,baseline,corrected_intensity,peak_area,peak_start,peak_stop,peak_middle,is_special_case,n-7,n-9,n-12,db_pos,Ratio
,TG(52:2)]_FA18:1,16153.0,766.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,766.7 -> 577.596,960.6483704658252,15192.472723284174,1655.3989075231545,17.9135688054089,18.154992734863445,18.0348,0,684.7,656.7,614.7,n-9,4.234076015727392
TAG,TG(52:2)]_FA18:1,102684.0,876.8,577.596,18.04,CrudeCanola_O3on_150gN3_02082023,876.8 -> 577.596,8872.171600696054,93812.13308680395,10908.848435370848,17.89458235413952,18.153708460382425,18.039483333333333,0,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,3815.0,794.7,577.596,18.05,CrudeCanola_O3on_150gN3_02082023,794.7 -> 577.596,261.3686311991702,3553.591573878955,726.6998918930813,17.445533333333334,18.31517300861326,18.045533333333335,0,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,3420.0,764.6,575.596,16.09,CrudeCanola_O3on_150gN3_02082023,764.6 -> 575.596,359.8420538533435,3059.9782586466563,790.6458678830988,15.494616666666667,16.69461666666667,16.094616666666667,0,682.6,654.6,612.6,n-9,3.1578947368421053
TAG,TG(52:3)]_FA18:1,22411.0,874.8,575.596,16.12,CrudeCanola_O3on_150gN3_02082023,874.8 -> 575.596,3409.707222317154,19001.214652682847,2386.7970153244532,15.905272669934158,16.2197270648319,16.115616666666668,0,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,1083.0,792.7,575.596,16.04,CrudeCanola_O3on_150gN3_02082023,792.7 -> 575.596,188.49483018856162,894.9051942255008,327.86196298698053,15.440583333333334,16.640583333333336,16.040583333333334,0,710.7,682.7,640.7,n-7,
,TG(53:0)]_FA18:1,551.0,784.6,595.596,21.57,CrudeCanola_O3on_150gN3_02082023,784.6 -> 595.596,244.33770529602782,306.6023581805347,,,,,0,702.6,674.6,632.6,n-9,1.1290983606557377
TAG,TG(53:0)]_FA18:1,2458.0,894.8,595.596,17.55,CrudeCanola_O3on_150gN3_02082023,894.8 -> 595.596,1935.0829993592201,522.4770592345299,,,,,0,812.8,784.8,742.8,,
,TG(53:0)]_FA18:1,488.0,812.7,595.596,20.87,CrudeCanola_O3on_150gN3_02082023,812.7 -> 595.596,42.500003814697266,445.7000389099121,,,,,0,730.7,702.7,660.7,n-7,
,TG(54:2)]_FA18:1,11693.0,794.6,605.596,20.0,CrudeCanola_O3on_150gN3_02082023,794.6 -> 605.596,569.2462829923791,11123.834771695121,1236.06682690371,19.796587337188562,20.11588625613738,20.002950000000002,0,712.6,684.6,642.6,n-9,4.305228276877761
